,GOVT,GOVT,GOVT,GOVT,GOVT,IGSB,IGSB,IGSB,IGSB,IGSB,IWF,IWF,IWF,IWF,IWF,TLT,TLT,TLT,TLT,TLT,VGLT,VGLT,VGLT,VGLT,VGLT,VMBS,VMBS,VMBS,VMBS,VMBS,VOOG,VOOG,VOOG,VOOG,VOOG
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-17 00:00:00-04:00,25.23,25.26,25.21,25.25,675884.0,52.59,52.611,52.58,52.599,621174.0,127.8,128.06,127.8,128.01,1547576.0,125.39,126.09,125.39,125.92,3961713.0,77.24,77.62,77.24,77.57,258788.0,52.84,52.8499,52.8,52.82,441153.0,131.27,131.59,131.26,131.58,29113.0
2017-10-18 00:00:00-04:00,25.2,25.21,25.17,25.2,507468.0,52.575,52.615,52.569,52.615,446712.0,128.33,128.3353,128.0,128.14,862874.0,125.05,125.18,124.68,125.1,4706805.0,77.03,77.1217,76.78,77.03,31849.0,52.79,52.79,52.7425,52.76,389960.0,131.88,131.88,131.5301,131.6299,39530.0
2017-10-19 00:00:00-04:00,25.25,25.265,25.22,25.23,689206.0,52.635,52.645,52.605,52.63,529644.0,127.62,128.06,127.16,128.06,625113.0,125.74,126.01,125.29,125.29,7882061.0,77.42,77.64,77.17,77.2,57182.0,52.77,52.82,52.73,52.73,424189.0,131.1,131.5,130.8,131.5,32793.0
2017-10-20 00:00:00-04:00,25.13,25.17,25.13,25.15,651942.0,52.605,52.614,52.595,52.605,545736.0,128.6,128.77,128.38,128.64,663325.0,124.0,124.28,123.64,124.01,9720777.0,76.41,76.55,76.215,76.39,39600.0,52.65,52.6892,52.6301,52.64,286452.0,132.0,132.08,131.71,131.95,32071.0
2017-10-23 00:00:00-04:00,25.15,25.18,25.15,25.17,472528.0,52.625,52.64,52.601,52.635,856312.0,128.96,129.01,127.95,128.04,1020108.0,124.16,124.49,124.02,124.2,4246265.0,76.49,76.74,76.45,76.52,31990.0,52.68,52.72,52.67,52.72,262840.0,132.3,132.3,131.25,131.33,29681.0
2017-10-24 00:00:00-04:00,25.11,25.135,25.1,25.12,636516.0,52.58,52.625,52.58,52.61,1359706.0,128.3,128.4,127.96,128.23,877536.0,123.37,123.69,123.15,123.45,5965628.0,76.06,76.24,76.0,76.1,222960.0,52.67,52.69,52.61,52.62,326018.0,131.59,131.59,131.2099,131.41,39516.0
2017-10-25 00:00:00-04:00,25.07,25.1,25.05,25.09,575142.0,52.6,52.605,52.57,52.595,413946.0,128.12,128.31,126.98,127.72,1776754.0,122.53,122.98,122.42,122.85,7943533.0,75.59,75.8299,75.5001,75.8,238103.0,52.56,52.86,52.53,52.57,404450.0,131.26,131.4175,130.26,130.94,35633.0
2017-10-26 00:00:00-04:00,25.09,25.11,25.05,25.06,758379.0,52.585,52.605,52.57,52.588,534592.0,127.96,128.18,127.64,127.89,842093.0,123.06,123.06,122.43,122.45,7061633.0,75.89,75.91,75.51,75.54,76148.0,52.64,52.6411,52.52,52.52,255541.0,131.04,131.22,130.84,131.01,27887.0
2017-10-27 00:00:00-04:00,25.07,25.12,25.07,25.12,813036.0,52.565,52.63,52.565,52.605,446882.0,128.84,129.97,128.84,129.83,1165910.0,122.94,123.325,122.75,123.22,7868465.0,75.84,76.04,75.68,76.0,79685.0,52.56,52.64,52.51,52.62,318618.0,132.04,133.14,132.04,132.97,40996.0
2017-10-30 00:00:00-04:00,25.16,25.19,25.13,25.18,530322.0,52.635,52.64,52.605,52.613,789298.0,129.73,130.06,129.34,129.67,784085.0,123.87,124.46,123.56,124.44,6502154.0,76.35,76.74,76.2,76.74,23356.0,52.72,52.76,52.69,52.75,311670.0,132.99,133.15,132.441,132.86,36904.0
2017-10-31 00:00:00-04:00,25.19,25.19,25.15,25.15,1370121.0,52.635,52.635,52.605,52.615,553178.0,130.02,130.205,129.76,129.97,1286567.0,124.53,124.6589,124.4,124.46,3898717.0,76.74,76.87,76.65,76.66,60820.0,52.73,52.76,52.7,52.701,315803.0,133.06,133.0769,132.6507,132.91,34679.0
