,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BA,BA,BA,BA,BA,NVDA,NVDA,NVDA,NVDA,NVDA,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,GS,GS,GS,GS,GS,COP,COP,COP,COP,COP,GILD,GILD,GILD,GILD,GILD,CCOI,CCOI,CCOI,CCOI,CCOI,PG,PG,PG,PG,PG
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-17 00:00:00-04:00,159.75,160.87,159.23,160.47,16059637,1005.59,1011.47,1004.38,1008.99,1487100,256.02,259.05,256.02,258.57,1792575,197.09,198.9,196.35,197.72,10112393,283000.0,283000.0,279900.0,281080.0,169,244.44,244.89,235.19,236.09,5860461,49.7,49.935,49.32,49.73,2772828,80.0,80.71,79.56,80.24,5209400,49.65,50.0,49.15,49.9,151845,93.04,93.09,92.4,92.8,4160781
2017-10-18 00:00:00-04:00,160.42,160.71,159.6,159.77,13668418,1009.27,1022.31,996.55,996.99,1714126,258.47,260.73,254.57,260.01,1342680,198.1,198.14,193.32,197.54,12459872,281715.0,282130.0,280790.0,281640.0,126,236.87,242.65,236.87,242.02,3322005,49.75,50.18,49.555,49.71,5150559,80.26,80.84,79.76,80.02,5240238,50.05,50.2,49.6,49.7,202954,92.78,92.95,92.01,92.78,5978281
2017-10-19 00:00:00-04:00,156.75,157.08,155.02,155.98,32669974,990.33,991.05,980.24,986.6,1963364,258.98,259.1,253.84,259.02,1453197,194.44,198.0,192.4501,197.79,12283460,280500.0,280960.0,279700.0,280715.0,219,240.3,240.99,238.1,240.03,1917186,49.39,50.04,49.3,49.72,3103441,81.53,82.47,80.5102,81.61,12294550,49.65,50.05,47.8,48.41,128608,91.7,91.99,91.14,91.63,6497132
2017-10-20 00:00:00-04:00,156.61,157.75,155.96,156.25,18427186,993.53,994.62,982.0,982.91,1406057,260.36,264.8272,259.44,264.69,2860789,198.49,199.59,196.54,196.86,9450691,281780.0,283390.0,281460.0,283352.5,233,242.95,245.25,240.67,244.74,2310872,49.9,50.4,49.5601,50.25,4856606,81.83,81.95,80.45,81.21,7203471,48.89,50.5,47.88,49.65,204367,89.72,89.96,87.59,88.22,16520870
2017-10-23 00:00:00-04:00,156.89,157.69,155.5,156.2,16418890,986.73,986.775,962.5,966.34,2341953,265.13,265.98,262.14,262.35,2385662,197.7,198.85,195.8,196.62,9054036,283520.0,284575.0,283220.0,284198.0,218,244.39,245.33,241.381,242.16,1475595,50.28,50.75,49.93,50.27,3860560,81.25,81.32,80.09,80.17,5181910,49.85,50.2,49.025,49.3,142925,88.63,88.86,86.87,87.29,10177891
2017-10-24 00:00:00-04:00,156.29,157.42,156.2,157.09,14016780,969.0,979.85,965.0,976.0,1744834,263.42,267.21,263.24,266.05,3316040,196.99,198.74,195.94,198.67,8679881,284800.0,285950.0,284335.0,284490.0,260,243.6,246.25,243.0,244.87,1503543,50.48,51.32,50.42,50.995,6532059,80.18,80.38,78.8,80.09,5695051,49.65,50.1,49.2,49.9,158656,87.37,87.42,86.78,87.0,7370493
2017-10-25 00:00:00-04:00,156.91,157.55,155.27,156.41,16016689,978.0,984.44,966.24,972.91,2001000,264.78,266.0,254.5,258.4199,6031790,197.08,199.22,191.17,193.64,17900060,285350.0,285350.0,281600.0,283200.0,257,246.16,246.5,240.8,241.71,2072140,51.06,51.13,49.75,49.96,5799954,80.08,80.08,78.69,79.9,6835318,50.15,51.0,49.18,49.33,190010,86.9,87.11,86.28,86.83,6587502
2017-10-26 00:00:00-04:00,157.23,157.8295,156.78,157.42,12374254,980.33,982.9,968.55,972.54,2373669,259.72,261.44,257.31,259.27,2631747,194.91,196.16,193.81,195.59,6727585,284290.0,284640.0,281870.0,283155.0,240,242.33,244.0,241.53,241.72,1430800,50.39,51.77,49.79,51.45,6276649,78.44,79.5,77.0,77.84,9619233,49.42,51.6,49.13,51.45,138453,87.19,87.77,87.1,87.49,4597174
2017-10-27 00:00:00-04:00,159.29,163.6,158.7,163.03,36735155,1057.03,1105.58,1050.55,1100.99,11137045,258.26,259.4994,255.8,256.31,1955905,197.79,201.87,196.75,201.75,12112237,282699.9,282799.0,280660.0,282795.0,188,240.85,242.44,239.67,241.77,1354379,51.16,52.23,50.2,51.21,6605795,75.01,77.2,72.76,77.05,18999697,51.45,52.75,51.45,52.75,218586,87.53,87.53,86.45,87.03,5698218
2017-10-30 00:00:00-04:00,163.89,168.07,163.72,166.72,37107049,1095.42,1122.79,1093.56,1110.85,4459741,255.45,260.41,255.29,259.24,2151914,201.86,206.0899,201.22,203.76,10639517,282150.0,282790.0,281190.0,281835.0,230,240.1,242.59,239.53,240.86,1324530,51.39,51.8,50.885,51.38,5274061,76.1,76.93,75.25,75.98,9373807,52.55,52.55,51.675,52.4,291054,86.91,87.08,86.16,86.28,4220729
2017-10-31 00:00:00-04:00,167.9,169.6499,166.94,169.05,28536890,1109.0,1110.54,1101.12,1105.67,2289196,259.34,259.93,257.47,257.99,1710205,205.1,207.89,204.9,206.75,8234024,282100.0,282100.0,279690.0,280420.0,299,240.68,244.18,240.63,242.55,1962590,51.32,51.61,51.02,51.15,4697595,75.83,76.39,74.725,74.97,6716855,52.7,53.95,52.05,53.85,294315,86.49,86.5,85.72,86.33,4164033
2017-11-01 00:00:00-04:00,169.87,169.94,165.61,166.87,27873344,1105.4,1108.97,1096.74,1103.5,2493594,258.29,259.41,256.24,258.515,1924146,209.35,209.97,204.6,207.2,10623453,282200.0,282200.0,280120.0,280700.0,253,243.89,247.4,242.91,244.29,2326966,51.81,52.28,51.43,52.09,5148064,74.69,75.85,74.22,74.84,7326593,54.3,54.85,53.225,53.525,532151,86.33,87.14,86.11,86.89,3832084
2017-11-02 00:00:00-04:00,167.64,168.5,165.28,168.07,27624141,1097.81,1101.94,1086.87,1094.0,2529218,258.31,263.24,258.0,262.71,1844963,206.0,207.81,203.65,205.911,7002386,280000.0,283000.0,278930.0,283000.0,180,244.69,247.74,243.38,246.8,1849888,52.06,52.59,51.69,52.48,4381009,74.72,74.8,73.55,73.8,6007470,52.0,53.15,45.15,46.95,1497069,86.78,87.04,86.23,86.52,3835401
2017-11-03 00:00:00-04:00,174.0,174.26,171.12,172.48,48908582,1090.7,1112.68,1088.52,1111.55,2480553,262.42,263.79,260.08,261.69,1901432,207.1,208.68,205.341,208.68,7313486,282699.0,282699.0,280550.0,280710.0,112,245.37,246.28,243.19,244.35,1476595,52.37,53.27,51.99,52.96,6909649,73.55,73.85,72.83,73.46,6185226,44.5,46.25,41.1,41.24,1294872,86.78,87.16,86.46,86.59,3376783
2017-11-06 00:00:00-05:00,172.365,174.99,171.72,174.32,27765449,1109.15,1125.41,1108.77,1120.46,2163474,262.62,265.84,260.6,264.1,1912928,207.2,209.98,206.7,209.62,8039349,279629.7,281320.0,278000.0,280040.0,169,243.5,244.579,241.67,243.48,1160413,53.01,53.94,52.8,53.68,6589402,73.29,73.5,72.11,72.36,6513229,41.29,45.4,41.29,44.7,735885,86.55,86.64,86.03,86.05,3638055
